ticker,cik,sector,fiscal_year,period_end,filed,revenue,gross_profit,operating_income,pretax_income,income_tax,net_income,eps_diluted,operating_cash_flow,capex,stock_comp,d_and_a,interest_expense,dividends_paid,buybacks,cash,total_debt,lt_debt_noncurrent,debt_current,total_assets,total_equity,shares_diluted,shares_outstanding
A,1090872,Health Care,2018,2018-10-31,2020-12-18,4914000000,,904000000,946000000,630000000,316000000,0.97,1087000000,177000000,70000000,210000000,75000000,191000000,422000000,2247000000,1792000000,1799000000,,8541000000,4567000000,325000000,318000000
A,1090872,Health Care,2019,2019-10-31,2021-12-17,5163000000,,941000000,919000000,-152000000,1071000000,3.37,1021000000,155000000,72000000,238000000,74000000,206000000,723000000,1382000000,1786000000,1791000000,,9452000000,4748000000,318000000,309000000
A,1090872,Health Care,2020,2020-10-31,2022-12-21,5339000000,,846000000,842000000,123000000,719000000,2.3,921000000,119000000,83000000,308000000,78000000,222000000,469000000,1441000000,2284000000,2284000000,,9627000000,4873000000,312000000,306000000
A,1090872,Health Care,2021,2021-10-31,2023-12-20,6319000000,,1347000000,1360000000,150000000,1210000000,3.94,1485000000,188000000,110000000,321000000,81000000,236000000,788000000,1484000000,2729000000,2729000000,,10705000000,5389000000,307000000,302000000
A,1090872,Health Care,2022,2022-10-31,2024-12-20,6848000000,,1618000000,1504000000,250000000,1254000000,4.18,1312000000,291000000,125000000,317000000,84000000,250000000,1139000000,1053000000,2733000000,,,10532000000,5305000000,300000000,295259092
A,1090872,Health Care,2023,2023-10-31,2025-12-22,6833000000,,1350000000,1339000000,99000000,1240000000,4.19,1772000000,298000000,111000000,271000000,95000000,265000000,575000000,1590000000,2735000000,,,10763000000,5845000000,296000000,292123241
A,1090872,Health Care,2024,2024-10-31,2025-12-22,6510000000,,1488000000,1521000000,232000000,1289000000,4.43,1751000000,378000000,129000000,257000000,96000000,274000000,1150000000,1329000000,3345000000,,,11846000000,5898000000,291000000,285193011
A,1090872,Health Care,2025,2025-10-31,2025-12-22,6948000000,,1479000000,1435000000,132000000,1303000000,4.57,1559000000,407000000,128000000,288000000,112000000,282000000,425000000,1789000000,3050000000,,,12727000000,6741000000,285000000,283054377
AAPL,320193,Information Technology,2018,2018-09-29,2018-11-05,265595000000,101839000000,70898000000,72903000000,13372000000,59531000000,2.98,77434000000,13313000000,5340000000,10903000000,3240000000,13712000000,72738000000,25913000000,104193000000,93735000000,8784000000,365725000000,107147000000,20000435000,4754986000
AAPL,320193,Information Technology,2019,2019-09-28,2021-10-29,260174000000,98392000000,63930000000,65737000000,10481000000,55256000000,2.97,69391000000,10495000000,6068000000,12547000000,3576000000,14119000000,66897000000,48844000000,101679000000,91807000000,10260000000,338516000000,90488000000,18595651000,17772945000
AAPL,320193,Information Technology,2020,2020-09-26,2022-10-28,274515000000,104956000000,66288000000,67091000000,9680000000,57411000000,3.28,80674000000,7309000000,6829000000,11056000000,2873000000,14081000000,72358000000,38016000000,106078000000,98667000000,8773000000,323888000000,65339000000,17528214000,16976763000
AAPL,320193,Information Technology,2021,2021-09-25,2023-11-03,365817000000,152836000000,108949000000,109207000000,14527000000,94680000000,5.61,104038000000,11085000000,7906000000,11284000000,2645000000,14467000000,85971000000,34940000000,118700000000,109106000000,9613000000,351002000000,63090000000,16864919000,16426786000
AAPL,320193,Information Technology,2022,2022-09-24,2024-11-01,394328000000,170782000000,119437000000,119103000000,19300000000,99803000000,6.11,122151000000,10708000000,9038000000,11104000000,2931000000,14841000000,89402000000,23646000000,110087000000,98959000000,11128000000,352755000000,50672000000,16325819000,15943425000
AAPL,320193,Information Technology,2023,2023-09-30,2025-10-31,383285000000,169148000000,114301000000,113736000000,16741000000,96995000000,6.13,110543000000,10959000000,10833000000,11519000000,3933000000,15025000000,77550000000,29965000000,105103000000,95281000000,9822000000,352583000000,62146000000,15812547000,15550061000
AAPL,320193,Information Technology,2024,2024-09-28,2025-10-31,391035000000,180683000000,123216000000,123485000000,29749000000,93736000000,6.08,118254000000,9447000000,11688000000,11445000000,,15234000000,94949000000,29943000000,96662000000,85750000000,10912000000,364980000000,56950000000,15408095000,15116786000
AAPL,320193,Information Technology,2025,2025-09-27,2025-10-31,416161000000,195201000000,133050000000,132729000000,20719000000,112010000000,7.46,111482000000,12715000000,12863000000,11698000000,,15421000000,90711000000,35934000000,90700000000,78328000000,12350000000,359241000000,73733000000,15004697000,14773260000
ABBV,1551152,Health Care,2018,2018-12-31,2021-02-19,32753000000,,6383000000,5197000000,-490000000,5687000000,3.66,13427000000,638000000,421000000,471000000,1348000000,5580000000,12014000000,7289000000,36611000000,,1609000000,59352000000,-8446000000,1546000000,
ABBV,1551152,Health Care,2019,2019-12-31,2022-02-18,33266000000,,12983000000,8426000000,544000000,7882000000,5.28,13324000000,552000000,430000000,464000000,1784000000,6366000000,629000000,39924000000,67233000000,,3753000000,89115000000,-8172000000,1484000000,
ABBV,1551152,Health Care,2020,2020-12-31,2023-02-17,45804000000,,11363000000,3398000000,-1224000000,4616000000,2.72,17588000000,798000000,753000000,666000000,2454000000,7716000000,978000000,8449000000,84948000000,,8468000000,150565000000,13076000000,1673000000,
ABBV,1551152,Health Care,2021,2021-12-31,2024-02-20,56197000000,,17924000000,12989000000,1440000000,11542000000,6.45,22777000000,787000000,692000000,803000000,2423000000,9261000000,934000000,9746000000,75962000000,,12481000000,146529000000,15408000000,1777000000,
ABBV,1551152,Health Care,2022,2022-12-31,2025-02-14,58054000000,,18117000000,13477000000,1632000000,11836000000,6.63,24943000000,695000000,671000000,778000000,2230000000,10043000000,1487000000,9201000000,63128000000,,4135000000,138805000000,17254000000,1778000000,
ABBV,1551152,Health Care,2023,2023-12-31,2026-02-20,54318000000,,12757000000,6250000000,1377000000,4863000000,2.72,22839000000,777000000,747000000,752000000,2224000000,10539000000,1972000000,12814000000,59245000000,,7191000000,134711000000,10360000000,1773000000,
ABBV,1551152,Health Care,2024,2024-12-31,2026-02-20,56334000000,,9137000000,3716000000,-570000000,4278000000,2.39,18806000000,974000000,911000000,764000000,2808000000,11025000000,1708000000,5524000000,66841000000,,6804000000,135161000000,3325000000,1773000000,
ABBV,1551152,Health Care,2025,2025-12-31,2026-02-20,61160000000,,15075000000,6597000000,2364000000,4226000000,2.36,19030000000,1214000000,955000000,762000000,2893000000,11657000000,980000000,5229000000,64503000000,,6056000000,133960000000,-3270000000,1773000000,
ABNB,1559720,Consumer Discretionary,2019,2019-12-31,2022-02-25,4805239000,,-501543000,-411703000,262636000,-674339000,,222727000,125452000,97547000,57200000,,,,2013547000,,,,,-808000000,260556000,
ABNB,1559720,Consumer Discretionary,2020,2020-12-31,2023-02-17,3378000000,,-3590000000,-4682000000,-97000000,-4585000000,,-740000000,37000000,3003000000,67200000,,,0,5480557000,1995000000,1815562000,10000000,10491499000,2901000000,284000000,
ABNB,1559720,Consumer Discretionary,2021,2021-12-31,2024-02-16,5992000000,,429000000,-300000000,52000000,-352000000,,2313000000,25000000,899000000,85600000,,,0,6067000000,2000000000,1983000000,0,13708000000,4775000000,616000000,
ABNB,1559720,Consumer Discretionary,2022,2022-12-31,2025-02-13,8399000000,,1802000000,1989000000,96000000,1893000000,,3430000000,25000000,930000000,42600000,,,1500000000,7378000000,,1987000000,,16038000000,5560000000,680000000,
ABNB,1559720,Consumer Discretionary,2023,2023-12-31,2026-02-12,9917000000,,1518000000,2102000000,-2690000000,4792000000,,3884000000,,1120000000,18000000,,,2252000000,6874000000,,1991000000,,20645000000,8165000000,662000000,
ABNB,1559720,Consumer Discretionary,2024,2024-12-31,2026-02-12,11102000000,,2553000000,3331000000,683000000,2648000000,,4518000000,,1407000000,16000000,,,3430000000,6864000000,,1995000000,0,20959000000,8412000000,645000000,
ABNB,1559720,Consumer Discretionary,2025,2025-12-31,2026-02-12,12241000000,,2544000000,3137000000,626000000,2511000000,,4646000000,,1592000000,17000000,,,3789000000,6560000000,,0,1999000000,22208000000,8199000000,623000000,
ABT,1800,Health Care,2018,2018-12-31,2021-02-19,30578000000,,3650000000,2873000000,539000000,2368000000,1.33,6300000000,1394000000,477000000,1100000000,826000000,1974000000,238000000,3844000000,19366000000,19359000000,7000000,67173000000,30524000000,1770000000,
ABT,1800,Health Care,2019,2019-12-31,2022-02-18,31904000000,,4532000000,4077000000,390000000,3687000000,2.06,6136000000,1638000000,519000000,1078000000,670000000,2270000000,718000000,3860000000,17938000000,16661000000,1277000000,67887000000,31088000000,1781000000,
ABT,1800,Health Care,2020,2020-12-31,2023-02-17,34608000000,,5357000000,4968000000,497000000,4495000000,2.5,7901000000,2177000000,546000000,1195000000,546000000,2560000000,403000000,6838000000,18534000000,18527000000,7000000,72548000000,32784000000,1786000000,
ABT,1800,Health Care,2021,2021-12-31,2024-02-16,43075000000,,8425000000,8211000000,1140000000,7071000000,3.94,10533000000,1885000000,640000000,1491000000,533000000,3202000000,2299000000,9799000000,18050000000,17296000000,754000000,75196000000,35802000000,1789000000,
ABT,1800,Health Care,2022,2022-12-31,2025-02-21,43653000000,,8362000000,8306000000,1373000000,6933000000,3.91,9581000000,1777000000,685000000,1254000000,558000000,3309000000,3795000000,9882000000,16773000000,14522000000,2251000000,74438000000,36686000000,1764000000,
ABT,1800,Health Care,2023,2023-12-31,2026-02-20,40109000000,,6478000000,6664000000,941000000,5723000000,3.26,7261000000,2202000000,644000000,1277000000,637000000,3556000000,1227000000,6896000000,14679000000,13599000000,1080000000,73214000000,38603000000,1749000000,
ABT,1800,Health Care,2024,2024-12-31,2026-02-20,41950000000,,6825000000,7013000000,-6389000000,13402000000,7.64,8558000000,2207000000,673000000,1340000000,559000000,3836000000,1295000000,7616000000,14125000000,12625000000,1500000000,81414000000,47664000000,1748000000,
ABT,1800,Health Care,2025,2025-12-31,2026-02-20,44328000000,,8053000000,8466000000,1942000000,6524000000,3.72,9566000000,2171000000,664000000,1434000000,493000000,4116000000,893000000,8522000000,12929000000,9896000000,3033000000,86713000000,52130000000,1748000000,
